
Gurobi 11.0.3 (linux64, Java) logging started sex 13 dez 2024 08:18:59 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 4.4613657861950539e-09
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_hosp/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 1239695 rows, 833994 columns and 9386231 nonzeros
Model fingerprint: 0x6f59d45f
Model has 650 quadratic constraints
Variable types: 416676 continuous, 417318 integer (645 binary)
Coefficient statistics:
  Matrix range     [2e-03, 6e+07]
  QMatrix range    [2e-03, 1e+06]
  QLMatrix range   [1e+00, 1e+06]
  Objective range  [1e+00, 4e+08]
  Bounds range     [1e+00, 2e+08]
  RHS range        [1e+00, 5e+07]
Presolve removed 2 rows and 3 columns (presolve time = 6s) ...
Presolve removed 821052 rows and 415347 columns (presolve time = 11s) ...
Presolve removed 1231350 rows and 825044 columns (presolve time = 15s) ...
Presolve removed 1231645 rows and 825340 columns
Presolve time: 19.17s
Presolved: 12437 rows, 9999 columns, 3951785 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 645 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 2319 continuous, 7680 integer (647 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   5.030836e+04   0.000000e+00     58s
    1037    0.0000000e+00   0.000000e+00   0.000000e+00     60s

Root relaxation: objective 0.000000e+00, 1037 iterations, 2.86 seconds (1.17 work units)
Total elapsed time = 59.80s (DegenMoves)
Total elapsed time = 69.42s (DegenMoves)
Total elapsed time = 76.58s (DegenMoves)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    0.00000    0 1086          -    0.00000      -     -   78s
     0     0 240923.087    0 1727          - 240923.087      -     -  100s
     0     0 240923.087    0 1727          - 240923.087      -     -  104s
     0     0 257912.828    0 1753          - 257912.828      -     -  144s
     0     0 257912.828    0 1753          - 257912.828      -     -  153s
     0     0 257941.407    0 2083          - 257941.407      -     -  176s
     0     0 257941.407    0 2083          - 257941.407      -     -  180s
     0     0 257941.407    0 2083          - 257941.407      -     -  183s
     0     0 257941.407    0 1912          - 257941.407      -     -  248s
     0     2 257941.407    0 1793          - 257941.407      -     -  373s
     1     5 257941.407    1 1792          - 257941.407      -   773  378s
     3     6 257941.407    2 1793          - 257941.407      -   262  381s
     7    10 257941.407    4 1789          - 257941.407      -   115  387s
     9    12 257941.407    5 1787          - 257941.407      -  90.6  390s
    13    16 257941.407    7 1790          - 257941.407      -  63.8  395s
    17    20 257953.210    9 1739          - 257953.210      -  53.4  401s
    21    24 426676.002   11 1730          - 258005.507      -  44.4  409s
    23    26 357293.601   11 1732          - 258005.507      -  41.2  414s
    25    28 357293.601   12 1735          - 258005.507      -  38.5  423s
    27    30 357293.601   13 1734          - 258005.507      -  54.1  444s
    29    33 357293.601   14 1734          - 258005.507      -  96.2  453s
    32    35 414680.147   15 1240          - 258005.507      -   111  457s
    34    40 414680.147   16 1241          - 258005.507      -   105  461s
    39    45 414680.147   19 1241          - 258005.507      -  91.6  467s
    44    49 414680.147   22 1229          - 258005.507      -  82.4  472s
    48    54 414680.147   24 1226          - 258005.507      -  76.0  477s
    53    59 414680.147   27 1224          - 258005.507      -  69.3  481s
    58    65 414680.147   30 1218          - 258005.507      -  63.6  488s
    64    70 414680.147   33 1217          - 258005.507      -  57.9  494s
    69    76 414680.147   36 1217          - 258005.507      -  54.0  501s
    75    81 414680.147   39 1221          - 258005.507      -  49.9  505s
    85    93 414680.147   45 1220          - 258005.507      -  44.6  516s
    92    99 414680.147   49 1210          - 258005.507      -  41.5  524s
    98   105 414848.341   51 1212          - 258005.507      -  39.4  530s
   104   111 414848.341   54 1213          - 258005.507      -  37.4  536s
   110   117 414848.341   58 1209          - 258005.507      -  35.7  545s
   116   123 414848.341   61 1199          - 258005.507      -  34.1  553s
   122   130 414848.341   63 1195          - 258005.507      -  32.7  558s
   129   139 414848.341   66 1191          - 258005.507      -  31.2  564s
   138   147 414848.341   71 1180          - 258005.507      -  29.4  569s
   146   156 414848.341   74 1174          - 258005.507      -  28.0  576s
   155   166 414848.341   77 1172          - 258005.507      -  26.6  583s
   165   175 414848.341   82 1164          - 258005.507      -  25.3  593s
   174   185 414848.341   86 1156          - 258005.507      -  24.2  603s
   184   192 414848.341   90 1153          - 258005.507      -  23.2  610s
   191   202 414848.341   95 1150          - 258005.507      -  22.9  622s
   201   215 414848.341  100 1140          - 258005.507      -  21.9  634s
   214   227 414848.341  107 1122          - 258005.507      -  20.7  648s
   226   240 414848.341  112 1113          - 258005.507      -  19.7  655s
   239   254 414848.341  120 1104          - 258005.507      -  18.9  668s
