
Gurobi 11.0.3 (linux64, Java) logging started sáb 20 dez 2025 09:32:57 -03

Set parameter WLSAccessID
Set parameter WLSSecret
Set parameter LicenseID to value 2566693
Academic license 2566693 - for non-commercial use only - registered to ja___@ufv.br
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 2.8398712201892718e-08
Set parameter Threads to value 1
Set parameter NodefileDir to value "/home/ps12398/efpe/goalProgrammingMarcos/"
Set parameter NodefileStart to value 0.1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 1 threads

Academic license 2566693 - for non-commercial use only - registered to ja___@ufv.br
Optimize a model with 257643 rows, 174944 columns and 1943429 nonzeros
Model fingerprint: 0xb578f8d9
Model has 300 quadratic constraints
Variable types: 87326 continuous, 87618 integer (295 binary)
Coefficient statistics:
  Matrix range     [3e-03, 3e+06]
  QMatrix range    [3e-03, 5e+04]
  QLMatrix range   [1e+00, 5e+04]
  Objective range  [1e+00, 7e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 8e+06]
  QRHS range       [3e-03, 3e-03]
Presolve removed 255895 rows and 172676 columns
Presolve time: 0.85s
Presolved: 2891 rows, 2626 columns, 329427 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 295 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 953 continuous, 1673 integer (297 binary)
Found heuristic solution: objective 1.314929e+07

Root relaxation: objective 2.773605e+05, 805 iterations, 0.29 seconds (0.28 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 277360.548    0  516 1.3149e+07 277360.548  97.9%     -    2s
     0     0 888506.671    0  470 1.3149e+07 888506.671  93.2%     -    3s
     0     0 888562.893    0  471 1.3149e+07 888562.893  93.2%     -    5s
H    0     0                    4525456.9387 888562.893  80.4%     -    5s
     0     0 888562.893    0  471 4525456.94 888562.893  80.4%     -    5s
     0     0 888562.893    0  469 4525456.94 888562.893  80.4%     -    6s
     0     0 888562.893    0  467 4525456.94 888562.893  80.4%     -    7s
     0     2 888562.893    0  467 4525456.94 888562.893  80.4%     -    8s
    36    38 888604.038   27  444 4525456.94 888567.093  80.4%   1.0   10s
   221   223 888604.331  188  340 4525456.94 888567.093  80.4%   1.0   15s
H  358   358                    4245964.8927 888567.093  79.1%   1.0   18s
   410   412 888604.331  364  297 4245964.89 888567.093  79.1%   1.0   20s
H  456   456                    4238375.4994 888567.093  79.0%   1.0   21s
H  614   614                    4212386.4004 888567.093  78.9%   1.2   25s
H  699   699                    3831222.7407 888567.093  76.8%   1.2   27s
   791   793 889155.529  721  297 3831222.74 888567.093  76.8%   1.2   30s
H  812   812                    3798137.6022 888567.093  76.6%   1.3   31s
H  919   919                    3772709.7732 888567.093  76.4%   1.4   34s
   935   937 889410.218  864  296 3772709.77 888567.093  76.4%   1.4   35s
  1073  1075 889770.601  997  297 3772709.77 888567.093  76.4%   1.8   40s
H 1074  1074                    3764374.9441 888567.093  76.4%   1.8   40s
H 1170  1170                    3742960.9580 888567.093  76.3%   2.1   44s
  1223  1225 890371.323 1133  297 3742960.96 888567.093  76.3%   2.1   45s
H 1320  1320                    3734527.0651 888567.093  76.2%   2.3   47s
  1382  1384 891143.641 1292  297 3734527.07 888567.093  76.2%   2.5   50s
  1501  1503 891826.934 1410  297 3734527.07 888567.093  76.2%   2.8   55s
H 1562  1562                    3707175.2762 888567.093  76.0%   2.9   57s
H 1685  1685                    3701372.7173 888567.093  76.0%   3.2   60s
H 1766  1766                    3691016.4712 888567.093  75.9%   3.4   63s
  1834  1836 894393.617 1737  298 3691016.47 888567.093  75.9%   3.5   65s
  1968  1970 894918.193 1853  297 3691016.47 888567.093  75.9%   3.7   70s
  2088  2090 895709.725 1970  297 3691016.47 888567.093  75.9%   4.1   75s
  2230  2232 897208.857 2111  297 3691016.47 888567.093  75.9%   4.5   80s
H 2268  2268                    3648451.6105 888567.093  75.6%   4.7   81s
H 2295  2295                    3635981.0285 888567.093  75.6%   4.7   84s
  2325  2327 897969.900 2206  297 3635981.03 888567.093  75.6%   4.8   85s
H 2332  2332                    3628780.8702 888567.093  75.5%   4.8   86s
  2454  2456 898821.792 2331  297 3628780.87 888567.093  75.5%   5.1   90s
  2553  2553 924268.557 1923  132 3628780.87 924268.557  74.5%   5.4   97s
H 2557  2428                    3618209.2614 1065995.08  70.5%   5.4   99s
  2559  2429 1065995.08 1933  117 3618209.26 1065995.08  70.5%   5.4  100s
H 2565  2312                    3377589.9663 1066019.80  68.4%   5.8  104s
  2568  2314 1066019.80 2208  139 3377589.97 1066019.80  68.4%   5.8  105s
  2604  2340 1066067.09   36  427 3377589.97 1066060.51  68.4%   6.2  110s
  2762  2446 1066243.74  115  405 3377589.97 1066060.51  68.4%   6.4  115s
  3017  2616 1066314.47  242  398 3377589.97 1066060.51  68.4%   6.9  120s
  3267  2782 1066299.37  367  388 3377589.97 1066060.51  68.4%   7.9  125s
  3538  2963 1066243.74  503  374 3377589.97 1066060.51  68.4%   9.5  130s
  3741  3098 1066307.54  604  388 3377589.97 1066060.51  68.4%  10.4  135s
H 3787  3011                    3094503.5873 1066060.51  65.5%  10.5  136s
H 3896  2973                    3038803.6660 1066060.51  64.9%  11.1  138s
H 3964  2914                    3025783.9600 1066060.51  64.8%  11.5  140s
H 3972  2819                    3023659.8807 1066060.51  64.7%  11.5  140s
  4193  2969 1066334.10  830  381 3023659.88 1066060.51  64.7%  11.9  145s
  4397  3105 1066246.01  932  370 3023659.88 1066060.51  64.7%  12.7  150s
H 4563  3119                    3011194.2952 1066060.51  64.6%  13.0  153s
  4621  3160 1066282.74 1044  374 3011194.30 1066060.51  64.6%  13.1  155s
H 4644  3083                    2944998.9990 1066060.51  63.8%  13.1  155s
  4815  3199 1066296.84 1141  386 2944999.00 1066060.51  63.8%  13.5  160s
  5009  3329 1066498.32 1238  308 2944999.00 1066060.51  63.8%  14.2  165s
  5237  3481 1066564.82 1352  322 2944999.00 1066060.51  63.8%  14.6  170s
  5441  3617 1066247.89 1454  373 2944999.00 1066060.51  63.8%  15.3  175s
H 5533  3591                    2943831.5276 1066060.51  63.8%  15.6  177s
  5629  3657 1072107.20 1548  372 2943831.53 1066060.51  63.8%  16.4  180s
  5810  3778 1077518.38 1639  386 2943831.53 1066060.51  63.8%  18.4  185s
H 5824  3703                    2939711.1464 1066060.51  63.7%  18.5  185s
  6047  3854 1080516.82 1757  373 2939711.15 1066060.51  63.7%  19.3  190s
  6261  3996 1082395.02 1864  369 2939711.15 1066060.51  63.7%  20.3  195s
H 6406  4014                    2924774.4299 1066060.51  63.6%  20.4  198s
  6457  4050 1084675.82 1962  317 2924774.43 1066060.51  63.6%  20.5  200s
H 6480  3990                    2891183.5775 1066060.51  63.1%  20.5  200s
  6603  4074 1091015.40 2035  381 2891183.58 1066060.51  63.1%  21.7  205s
H 6696  4123                    2891100.1930 1066060.51  63.1%  22.8  208s
  6723  4152 1091677.98 2095  377 2891100.19 1066060.51  63.1%  23.1  210s
  6858  4287 1105761.77 2163  379 2891100.19 1066060.51  63.1%  24.0  215s
  7001  4430 1107302.56 2234  363 2891100.19 1066060.51  63.1%  25.0  220s
  7182  4611 1112424.40 2325  337 2891100.19 1066060.51  63.1%  25.7  225s
  7488  4917 1118129.41 2478  342 2891100.19 1066060.51  63.1%  25.9  230s
H 7696  5123                    2891100.1746 1066060.51  63.1%  26.1  233s
  7797  5226 1123493.74 2632  355 2891100.17 1066060.51  63.1%  26.2  235s
H 7861  5288                    2830043.3739 1066060.51  62.3%  26.4  236s
  8042  5471 1124468.43 2755  309 2830043.37 1066060.51  62.3%  26.6  240s
H 8152  5579                    2810679.5861 1066060.51  62.1%  26.5  241s
H 8346  5773                    2802929.7130 1066060.51  62.0%  26.6  244s
  8372  5801 1128231.77 2920  299 2802929.71 1066060.51  62.0%  26.6  245s
H 8408  5835                    2723754.5889 1066060.51  60.9%  26.6  245s
H 8462  5889                    2670271.1317 1066060.51  60.1%  26.8  247s
H 8566  5993                    2605344.0956 1066060.51  59.1%  27.0  249s
  8581  6010 1134198.03 3024  378 2605344.10 1066060.51  59.1%  27.1  250s
  8705  6134 1134560.68 3086  325 2605344.10 1066060.51  59.1%  27.7  255s
