
Gurobi 11.0.3 (linux64, Java) logging started ter 23 dez 2025 19:27:57 -03

Set parameter WLSAccessID
Set parameter WLSSecret
Set parameter LicenseID to value 2566693

Gurobi 11.0.3 (linux64, Java) logging started sáb 27 dez 2025 00:48:10 -03

Set parameter WLSAccessID
Set parameter WLSSecret
Set parameter LicenseID to value 2566693
Academic license 2566693 - for non-commercial use only - registered to ja___@ufv.br
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 1.8403064957571938e-08
Set parameter Threads to value 2
Set parameter Cuts to value 1
Set parameter NodefileDir to value "/home/ps12398/gp-momulap/goalProgrammingMarcos/"
Set parameter NodefileStart to value 0.1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Academic license 2566693 - for non-commercial use only - registered to ja___@ufv.br
Optimize a model with 733928 rows, 495518 columns and 5922184 nonzeros
Model fingerprint: 0x34fc1375
Model has 502 quadratic constraints
Variable types: 247512 continuous, 248006 integer (497 binary)
Coefficient statistics:
  Matrix range     [2e-03, 7e+06]
  QMatrix range    [2e-03, 1e+05]
  QLMatrix range   [1e+00, 1e+05]
  Objective range  [1e+00, 1e+08]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 9e+05]
  QRHS range       [3e-02, 3e-02]
Presolve removed 723084 rows and 484661 columns (presolve time = 5s) ...
Presolve removed 728393 rows and 489419 columns
Presolve time: 6.80s
Presolved: 8645 rows, 7058 columns, 2079615 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 497 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 1727 continuous, 5331 integer (499 binary)
Found heuristic solution: objective 4.814457e+07

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.391337e+04   0.000000e+00     27s
     677    1.2147910e+05   0.000000e+00   0.000000e+00     28s

Root relaxation: objective 1.214791e+05, 677 iterations, 1.12 seconds (0.23 work units)
Total elapsed time = 27.81s (DegenMoves)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 121479.100    0  782 4.8145e+07 121479.100   100%     -   27s
     0     0 1115566.64    0 1076 4.8145e+07 1115566.64  97.7%     -   39s
     0     0 1197923.11    0 1060 4.8145e+07 1197923.11  97.5%     -   45s
     0     0 1244009.21    0 1056 4.8145e+07 1244009.21  97.4%     -   60s
H    0     0                    4.788670e+07 1244249.20  97.4%     -   63s
     0     0 1244943.71    0 1058 4.7887e+07 1244943.71  97.4%     -   64s
     0     0 1268174.39    0 1104 4.7887e+07 1268174.39  97.4%     -   83s
H    0     0                    1.491419e+07 1268421.33  91.5%     -   84s
     0     0 1268421.33    0 1105 1.4914e+07 1268421.33  91.5%     -   86s
     0     0 1270335.69    0 1108 1.4914e+07 1270335.69  91.5%     -   91s
     0     0 1270583.74    0 1106 1.4914e+07 1270583.74  91.5%     -   92s
     0     0 1270583.74    0 1112 1.4914e+07 1270583.74  91.5%     -   92s
     0     0 1270583.74    0 1112 1.4914e+07 1270583.74  91.5%     -  103s
     0     2 1270583.74    0 1112 1.4914e+07 1270583.74  91.5%     -  124s
     1     4 1271828.34    1 1101 1.4914e+07 1270583.74  91.5%  13.0  126s
     7    10 1274616.28    3 1093 1.4914e+07 1272556.75  91.5%  12.7  130s
    15    18 1275433.82    6 1087 1.4914e+07 1274471.82  91.5%  12.9  135s
    23    26 1276473.64    8 1084 1.4914e+07 1275002.93  91.5%  13.3  140s
    29    32 1276660.22   10 1072 1.4914e+07 1275002.93  91.5%  14.7  146s
    35    39 1277240.37   12 1065 1.4914e+07 1275002.93  91.5%  13.3  150s
    48    53 1279398.64   16 1062 1.4914e+07 1275002.93  91.5%  12.7  156s
    56    59 1284165.51   19 1064 1.4914e+07 1275002.93  91.5%  12.4  160s
    66    71 1283785.22   22 1050 1.4914e+07 1275002.93  91.5%  11.8  166s
    74    79 1284444.53   24 1051 1.4914e+07 1275002.93  91.5%  11.6  170s
    85    90 1287130.79   28 1042 1.4914e+07 1275002.93  91.5%  11.6  176s
    94   102 1291314.20   31 1030 1.4914e+07 1275002.93  91.5%  11.7  181s
   107   114 1297123.51   35 1026 1.4914e+07 1275002.93  91.5%  11.6  187s
   113   117 1300290.78   37 1020 1.4914e+07 1275002.93  91.5%  11.5  190s
   121   129 1300377.58   38 1019 1.4914e+07 1275002.93  91.5%  11.7  197s
   128   136 1301674.64   42  997 1.4914e+07 1275002.93  91.5%  11.4  200s
H  142   145                    1.465219e+07 1275002.93  91.3%  11.3  209s
   144   152 1304717.95   48  991 1.4652e+07 1275002.93  91.3%  11.3  213s
   151   162 1305575.70   52  987 1.4652e+07 1275002.93  91.3%  11.2  218s
   161   169 1305674.57   57  984 1.4652e+07 1275002.93  91.3%  10.7  223s
   168   173 1306951.14   58  982 1.4652e+07 1275002.93  91.3%  11.2  226s
   174   184 1310268.34   60  980 1.4652e+07 1275002.93  91.3%  11.2  233s
   183   194 1322813.62   64  964 1.4652e+07 1275002.93  91.3%  11.3  238s
   193   203 1321546.45   67  957 1.4652e+07 1275002.93  91.3%  11.2  243s
   202   205 1327913.56   69  950 1.4652e+07 1275002.93  91.3%  11.3  245s
   204   217 1330689.00   70  947 1.4652e+07 1275002.93  91.3%  11.4  250s
   216   229 1334839.90   74  945 1.4652e+07 1275002.93  91.3%  11.5  255s
   237   240 1344331.22   81  936 1.4652e+07 1275002.93  91.3%  11.4  262s
   239   253 1347378.93   81  933 1.4652e+07 1275002.93  91.3%  11.4  268s
   252   267 1351766.47   85  932 1.4652e+07 1275002.93  91.3%  11.7  274s
   266   275 1354850.47   92  924 1.4652e+07 1275002.93  91.3%  11.7  279s
   274   286 1364261.07   95  916 1.4652e+07 1275002.93  91.3%  11.7  284s
   285   301 1364031.95   98  900 1.4652e+07 1275002.93  91.3%  12.0  290s
   300   305 1373682.10  101  890 1.4652e+07 1275002.93  91.3%  12.1  328s
   304   321 1391047.87  104  885 1.4652e+07 1275002.93  91.3%  12.2  335s
   320   334 1385406.48  108  882 1.4652e+07 1275002.93  91.3%  12.1  340s
   333   351 1403568.06  112  877 1.4652e+07 1275002.93  91.3%  12.5  345s
   350   367 1404357.75  119  861 1.4652e+07 1275002.93  91.3%  12.5  352s
   366   375 1419146.06  126  849 1.4652e+07 1275002.93  91.3%  12.7  366s
H  373   375                    1.445573e+07 1275002.93  91.2%  12.6  367s
