
Gurobi 11.0.3 (linux64, Java) logging started qui 18 dez 2025 08:05:07 -03

Set parameter WLSAccessID
Set parameter WLSSecret
Set parameter LicenseID to value 2566693
Academic license 2566693 - for non-commercial use only - registered to ja___@ufv.br

Gurobi 11.0.3 (linux64, Java) logging started ter 23 dez 2025 19:27:49 -03

Set parameter WLSAccessID
Set parameter WLSSecret
Set parameter LicenseID to value 2566693

Gurobi 11.0.3 (linux64, Java) logging started sáb 27 dez 2025 00:43:48 -03

Set parameter WLSAccessID
Set parameter WLSSecret
Set parameter LicenseID to value 2566693
Academic license 2566693 - for non-commercial use only - registered to ja___@ufv.br
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 1.8403064957571938e-08
Set parameter Threads to value 2
Set parameter Cuts to value 1
Set parameter NodefileDir to value "/home/ps12398/gp-momulap/goalProgrammingMarcos/"
Set parameter NodefileStart to value 0.1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Academic license 2566693 - for non-commercial use only - registered to ja___@ufv.br
Optimize a model with 733928 rows, 495518 columns and 5922184 nonzeros
Model fingerprint: 0xd8082fe8
Model has 502 quadratic constraints
Variable types: 247512 continuous, 248006 integer (497 binary)
Coefficient statistics:
  Matrix range     [2e-03, 7e+06]
  QMatrix range    [2e-03, 1e+05]
  QLMatrix range   [1e+00, 1e+05]
  Objective range  [1e+00, 1e+08]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 9e+05]
  QRHS range       [3e-03, 3e-03]
Presolve removed 728393 rows and 489419 columns
Presolve time: 4.68s
Presolved: 8645 rows, 7058 columns, 2079615 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 497 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 1727 continuous, 5331 integer (499 binary)
Found heuristic solution: objective 4.814457e+07

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.391335e+04   0.000000e+00     20s
     734    1.3321656e+05   1.322217e+03   0.000000e+00     20s
     917    1.4144537e+05   0.000000e+00   0.000000e+00     21s

Root relaxation: objective 1.414454e+05, 917 iterations, 1.69 seconds (1.07 work units)
Total elapsed time = 21.22s (DegenMoves)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 141445.374    0  950 4.8145e+07 141445.374   100%     -   21s
     0     0 1720813.77    0 1307 4.8145e+07 1720813.77  96.4%     -   35s
     0     0 1757431.56    0 1310 4.8145e+07 1757431.56  96.3%     -   39s
     0     0 1800867.78    0 1277 4.8145e+07 1800867.78  96.3%     -   52s
     0     0 1802753.62    0 1273 4.8145e+07 1802753.62  96.3%     -   56s
     0     0 1832710.53    0 1335 4.8145e+07 1832710.53  96.2%     -   72s
     0     0 1833096.37    0 1345 4.8145e+07 1833096.37  96.2%     -   77s
     0     0 1834438.42    0 1352 4.8145e+07 1834438.42  96.2%     -   78s
     0     0 1834882.16    0 1351 4.8145e+07 1834882.16  96.2%     -   79s
     0     0 1834882.16    0 1350 4.8145e+07 1834882.16  96.2%     -   81s
     0     0 1836808.98    0 1358 4.8145e+07 1836808.98  96.2%     -   81s
     0     0 1836808.98    0 1358 4.8145e+07 1836808.98  96.2%     -   96s
     0     2 1836808.98    0 1358 4.8145e+07 1836808.98  96.2%     -  120s
     7    10 1851572.12    3 1323 4.8145e+07 1840596.19  96.2%  23.4  125s
    15    18 1948098.86    5 1308 4.8145e+07 1840596.19  96.2%  25.9  131s
    21    24 1888726.07    6 1322 4.8145e+07 1840596.19  96.2%  28.6  135s
    27    30 1867816.45    8 1308 4.8145e+07 1840596.19  96.2%  28.5  140s
    35    39 1882573.94   11 1298 4.8145e+07 1840596.19  96.2%  30.5  146s
    42    45 1891946.89   13 1306 4.8145e+07 1840596.19  96.2%  34.0  150s
    49    54 1900086.01   15 1296 4.8145e+07 1840596.19  96.2%  34.0  156s
    57    60 1912634.16   18 1285 4.8145e+07 1840596.19  96.2%  33.7  161s
    65    72 1913788.89   20 1272 4.8145e+07 1840596.19  96.2%  31.0  166s
    77    84 1921244.56   23 1264 4.8145e+07 1840596.19  96.2%  28.2  171s
H   83    86                    4.777004e+07 1840596.19  96.1%  27.0  174s
    85    88 1923593.31   26 1250 4.7770e+07 1840596.19  96.1%  27.7  177s
    87    94 1923538.46   26 1253 4.7770e+07 1840596.19  96.1%  28.0  180s
    99   106 1925834.82   31 1223 4.7770e+07 1840596.19  96.1%  26.8  186s
   105   116 1931136.44   33 1227 4.7770e+07 1840596.19  96.1%  26.3  190s
   117   126 1935708.36   37 1196 4.7770e+07 1840596.19  96.1%  25.8  198s
   125   135 1941333.21   40 1186 4.7770e+07 1840596.19  96.1%  25.1  202s
   134   144 1950980.83   43 1191 4.7770e+07 1840596.19  96.1%  24.5  205s
   150   161 1954964.77   49 1152 4.7770e+07 1840596.19  96.1%  23.6  212s
   160   172 1964306.02   52  863 4.7770e+07 1840596.19  96.1%  23.0  216s
   171   180 1962946.42   54  861 4.7770e+07 1840596.19  96.1%  22.1  220s
   179   192 1966282.17   57  863 4.7770e+07 1840596.19  96.1%  21.5  225s
   191   194 1968497.49   60  849 4.7770e+07 1840596.19  96.1%  21.0  238s
H  192   194                    4.643406e+07 1840596.19  96.0%  20.9  238s
   193   207 1969410.91   60  845 4.6434e+07 1840596.19  96.0%  21.0  243s
   206   216 1975227.14   63  837 4.6434e+07 1840596.19  96.0%  20.5  248s
   215   229 1977590.25   65  831 4.6434e+07 1840596.19  96.0%  20.2  254s
   228   246 1984283.01   68  820 4.6434e+07 1840596.19  96.0%  19.8  259s
   245   264 1989115.81   74  804 4.6434e+07 1840596.19  96.0%  19.4  263s
   263   273 2001159.64   80  788 4.6434e+07 1840596.19  96.0%  19.2  267s
   272   290 2008309.71   83  785 4.6434e+07 1840596.19  96.0%  19.4  271s
