
Gurobi 11.0.3 (linux64, Java) logging started qua 24 dez 2025 10:32:00 -03

Set parameter WLSAccessID
Set parameter WLSSecret
Set parameter LicenseID to value 2566693
Academic license 2566693 - for non-commercial use only - registered to ja___@ufv.br
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 1.8403064957571938e-08
Set parameter Threads to value 2
Set parameter Cuts to value 1
Set parameter NodefileDir to value "/home/ps12398/gp-momulap/goalProgrammingMarcos/"
Set parameter NodefileStart to value 0.1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Academic license 2566693 - for non-commercial use only - registered to ja___@ufv.br
Optimize a model with 733928 rows, 495518 columns and 5922184 nonzeros
Model fingerprint: 0x4d2ca67f
Model has 502 quadratic constraints
Variable types: 247512 continuous, 248006 integer (497 binary)
Coefficient statistics:
  Matrix range     [2e-03, 7e+06]
  QMatrix range    [2e-03, 1e+05]
  QLMatrix range   [1e+00, 1e+05]
  Objective range  [1e+00, 1e+08]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 8e+05]
  QRHS range       [1e-02, 1e-02]
Presolve removed 484934 rows and 246513 columns (presolve time = 5s) ...
Presolve removed 728393 rows and 489419 columns
Presolve time: 8.55s
Presolved: 8645 rows, 7058 columns, 2079615 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 497 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 1727 continuous, 5331 integer (499 binary)
Found heuristic solution: objective 4.315803e+07

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.250747e+04   0.000000e+00     28s
     755    0.0000000e+00   0.000000e+00   0.000000e+00     29s

Root relaxation: objective 0.000000e+00, 755 iterations, 1.27 seconds (0.69 work units)
Total elapsed time = 29.09s (DegenMoves)
Total elapsed time = 32.00s (DegenMoves)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    0.00000    0  904 4.3158e+07    0.00000   100%     -   32s
H    0     0                    4.308532e+07    0.00000   100%     -   33s
     0     0 632169.303    0 1180 4.3085e+07 632169.303  98.5%     -   44s
     0     0 707085.414    0 1212 4.3085e+07 707085.414  98.4%     -   57s
     0     0 713341.077    0 1212 4.3085e+07 713341.077  98.3%     -   59s
     0     0 713341.077    0 1205 4.3085e+07 713341.077  98.3%     -   69s
     0     0 713745.635    0 1208 4.3085e+07 713745.635  98.3%     -   70s
     0     0 713745.635    0 1210 4.3085e+07 713745.635  98.3%     -   71s
     0     0 713745.635    0 1210 4.3085e+07 713745.635  98.3%     -   81s
     0     2 713745.635    0 1210 4.3085e+07 713745.635  98.3%     -   97s
     3     6 739189.214    2 1206 4.3085e+07 713745.635  98.3%  18.3  100s
    13    16 748059.720    5 1207 4.3085e+07 723324.727  98.3%  13.1  105s
    21    24 751706.157    7 1207 4.3085e+07 731192.413  98.3%  13.0  110s
    27    30 776869.906    8 1204 4.3085e+07 735855.658  98.3%  15.3  117s
    32    36 767153.334   10 1213 4.3085e+07 737407.987  98.3%  14.6  122s
    37    40 777938.323   12 1216 4.3085e+07 737407.987  98.3%  14.8  125s
    45    50 807601.749   15 1206 4.3085e+07 737407.987  98.3%  14.9  130s
    52    58 805202.409   17 1209 4.3085e+07 737407.987  98.3%  13.9  135s
    59    64 819978.135   18 1204 4.3085e+07 737407.987  98.3%  13.2  140s
    67    73 831993.943   20 1207 4.3085e+07 737407.987  98.3%  13.4  146s
    78    85 859977.233   24 1207 4.3085e+07 737407.987  98.3%  13.3  152s
H   84    87                    4.306358e+07 737407.987  98.3%  13.6  154s
    86    89 874023.442   26 1203 4.3064e+07 737407.987  98.3%  13.8  156s
    88    95 888267.060   27 1200 4.3064e+07 737407.987  98.3%  13.9  160s
   100   105 925656.035   30 1187 4.3064e+07 737407.987  98.3%  14.4  168s
   104   111 912453.504   30 1193 4.3064e+07 737407.987  98.3%  14.6  171s
   110   115 933524.641   32 1185 4.3064e+07 737407.987  98.3%  15.1  175s
H  111   115                    4.306248e+07 737407.987  98.3%  14.9  175s
   118   127 955444.354   34 1182 4.3062e+07 737407.987  98.3%  15.0  183s
   126   134 974549.540   36 1187 4.3062e+07 737407.987  98.3%  15.4  187s
   133   141 1016667.72   39 1176 4.3062e+07 737407.987  98.3%  15.5  192s
H  140   144                    4.306244e+07 737407.987  98.3%  15.6  195s
   148   158 1037254.57   42 1169 4.3062e+07 737407.987  98.3%  16.0  203s
   157   167 1049489.69   44 1170 4.3062e+07 737407.987  98.3%  16.1  207s
   166   172 1073930.32   46 1162 4.3062e+07 737407.987  98.3%  16.0  212s
   171   181 1085620.64   47 1172 4.3062e+07 737407.987  98.3%  16.3  217s
   180   191 1112925.39   50 1157 4.3062e+07 737407.987  98.3%  16.2  221s
   190   205 1155717.16   54 1144 4.3062e+07 737407.987  98.3%  16.6  227s
   204   212 1172021.47   56 1145 4.3062e+07 737407.987  98.3%  16.8  233s
   211   226 1188164.01   59 1136 4.3062e+07 737407.987  98.3%  17.2  240s
   225   241 1223962.34   64 1125 4.3062e+07 737407.987  98.3%  17.1  247s
   240   254 1242362.09   68 1119 4.3062e+07 737407.987  98.3%  16.6  253s
   253   276 1248473.66   74 1108 4.3062e+07 737407.987  98.3%  16.2  261s
   275   284 1267789.85   82 1094 4.3062e+07 737407.987  98.3%  15.5  268s
   283   306 1269738.83   83 1094 4.3062e+07 737407.987  98.3%  15.3  276s
